{id=null, openid='oB4-Ttyrb6AUq9PW1F9RKgMq8oEo', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:50:09 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-TtyM9Zbxv0d-7ZfJsFWGx4-U', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:50:22 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-TtyMJx1G9Ie-GZsFYMPne_R0', sceneid='qrscene_materiel_848_1747', qrId=1747, materielId=848, subscribe=Mon Oct 14 16:50:31 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Ttw-st0WcqkCTlLL-Q2dOf8A', sceneid='bbx_福建省厦门市_福清龙田kt版下单流程_15259820229', qrId=767, materielId=39, subscribe=Mon Oct 14 16:50:34 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt29-YkG-wf-HUPs00T_STN4', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:52:09 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt5LEdBSdxUW357FNWJBFE7k', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:52:25 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt5dc8SvHM66nr2huphW83-Q', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:52:25 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt1El0PUNUrprmHpeIAuOGEY', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:53:42 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt81ACUFP0AUygPcq52ShX6s', sceneid='bbx_福建省厦门市_福清龙田名片_15259820229', qrId=728, materielId=49, subscribe=Mon Oct 14 16:53:54 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt6ztFdKAHSDUNQ8rzhjyNmw', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:54:06 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt992l5_wjXxT1zituHSFmko', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:54:23 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt_QhYvvEuv36gTT0r8g-R4M', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:54:27 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt09dT6UBs9maMhB0_kjVXMc', sceneid='qrscene_materiel_939_1881', qrId=1881, materielId=939, subscribe=Mon Oct 14 16:54:57 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt3TsSorx1I-UBfVoOw6HXwE', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:55:23 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt-n-hMNhIV4wJU22BYYhDkI', sceneid='qrscene_materiel_871_1793', qrId=1793, materielId=871, subscribe=Mon Oct 14 16:55:45 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt2EDZTbKrdnDrOoyMQKFF1U', sceneid='qrscene_bbx_河南省郑州市_其他_济源名片', qrId=null, materielId=null, subscribe=Mon Oct 14 16:55:52 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt4FhRNfo81VjKSA4C8IVAA4', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:55:53 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt6KfZtJFVVGNn4CtY_F-eyY', sceneid='qrscene_materiel_871_1793', qrId=1793, materielId=871, subscribe=Mon Oct 14 16:56:24 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Ttx_8T-bZ_FpOFsRQpmjSles', sceneid='qrscene_focus_bbx_0_092332335239536', qrId=null, materielId=null, subscribe=Mon Oct 14 16:59:02 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt0M8dQtf5cSMDoXkcgjO1Io', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 17:00:01 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-TtxbofWDtQBzcpjgRRW23xFI', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 17:00:15 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt93PKNq8yV8PbuG9fJAmuAU', sceneid='qrscene_focus_bbx_0_092332335239536', qrId=null, materielId=null, subscribe=Mon Oct 14 17:00:54 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt8h3usmABfvLOnKA_E75wus', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 17:01:22 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt4aIyHIn7mhNZbNkvAT04X4', sceneid='qrscene_materiel_825_1715', qrId=1715, materielId=825, subscribe=Mon Oct 14 17:01:40 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-TtzAr2aEpO7GCuZMBY0bmruo', sceneid='bbx_山东省德州市宁津县_名片_名片', qrId=926, materielId=437, subscribe=Mon Oct 14 17:02:51 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt99Ws9s4J-_r38XH9YD4jxY', sceneid='bbx_福建省厦门市_唐县名片_18233299042', qrId=1605, materielId=746, subscribe=Mon Oct 14 17:03:05 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt1mav-jCtiiJPdr9lXWWsvY', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 17:03:18 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tty4FeBAPPbdOYJtiKkbAgx0', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 17:03:39 CST 2019, unSubscribe=null, type=1}
